Title,DOI,Link,screening,nickname,eligibility
Extensive COVID-19 X-Ray and CT Chest Images Dataset,10.17632/8h65ywd2jr,https://data.mendeley.com/datasets/8h65ywd2jr,,,no_info
Chest X-ray (Covid-19 & Pneumonia),,https://www.kaggle.com/prashant268/chest-xray-covid19-pneumonia,,,remix
COVID-19 Posteroanterior Chest X-Ray fused (CPCXR) dataset,10.21227/x2r3-xk48,https://ieee-dataport.org/documents/covid-19-posteroanterior-chest-x-ray-fused-cpcxr-dataset,,,remix
COVID-19 Detection X-Ray Dataset,,https://www.kaggle.com/darshan1504/covid19-detection-xray-dataset,,,remix
Extensive and Augmented COVID-19 X-Ray and CT Chest Images Dataset,10.17632/8h65ywd2jr,https://data.mendeley.com/datasets/8h65ywd2jr,,,no_info
COVID-19 Chest Xray,,https://www.kaggle.com/bachrr/covid-chest-xray,,,remix
Covid detection(X-ray Images),,https://www.kaggle.com/khushwantparihar/covid-detectionxray-images,,,remix
COVID-19 dataset 3 classes,10.21227/q4ds-7j67,https://ieee-dataport.org/documents/covid-19-dataset-3-classes,,,remix
Curated Dataset for COVID-19 Posterior-Anterior Chest Radiography Images (X-Rays),10.17632/9xkhgts2s6,https://data.mendeley.com/datasets/9xkhgts2s6,,,remix
"COVID19, Pneumonia and Normal Chest X-ray PA Dataset",10.17632/jctsfj2sfn,https://data.mendeley.com/datasets/jctsfj2sfn,,,remix
COVID-19 Chest X-Ray Image Repository,10.6084/m9.figshare.12580328.v2,https://figshare.com/articles/dataset/COVID-19_Chest_X-Ray_Image_Repository/12580328/2,,,remix
CPCXR Dataset,,https://github.com/nspunn1993/COVID-19-PA-CXR-fused-dataset,,,remix
Augmented COVID-19 X-ray Images Dataset,10.17632/2fxz4px6d8,https://data.mendeley.com/datasets/2fxz4px6d8,,mendeley_augmented,remix
"COVID19, Pneumonia and Normal Chest X-ray PA Dataset",10.17632/mxc6vb7svm,https://data.mendeley.com/datasets/mxc6vb7svm,,,remix
Extensive and Augmented COVID-19 X-Ray and CT Chest Images Dataset,10.17632/8h65ywd2jr,https://data.mendeley.com/datasets/8h65ywd2jr,,,no_info
"Chest X-ray images with three classes: COVID-19, Normal, and Pneumonia",10.17632/fvk7h5dg2p,https://data.mendeley.com/datasets/fvk7h5dg2p,,moma,remix
COVID-19 Chest X-ray Image Dataset,,https://www.kaggle.com/alifrahman/covid19-chest-xray-image-dataset,,,remix
covid x ray,,https://www.kaggle.com/moustafasamy/covid-x-ray,na,,
COVID Chest X-Rays,,https://data.mendeley.com/datasets/4n66brtp4j,,,no_meta
COVID-19 Chest X-Ray Image Repository,,https://github.com/armiro/COVID-CXNet,,,remix
Kaggle - COVID-19 Xray dataset (train & test Sets),,https://www.kaggle.com/khoongweihao/covid19-xray-dataset-train-test-sets,,,remix
CoronaHack -Chest X-Ray-Dataset,,https://www.kaggle.com/praveengovi/coronahack-chest-xraydataset,,,remix
Data from: 3d Virtual Patho-Histology of Lung Tissue from Covid19 Patients based on Phase Contrast X-ray Tomography,,https://zenodo.org/record/3892637,no_chestxraydata,,
BIMCV-COVID-19+ dataset,10.21227/w3aw-rv39,https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/,,bimcv,
The National COVID-19 Chest Imaging Database,,https://nhsx.github.io/covid-chest-imaging-database/,notpublic,nshx,
DM Negative Portable Chest X-rays in the Context of the COVID-19 Pandemic: An Aid for Triaging Patients Suspected of COVID-19 Infection.,,,na,,
COVID-19 Image Repository,,https://github.com/ml-workgroup/covid-19-image-repository,,mlhannover,
Noisy COVID-19 X-ray Dataset,10.17632/fjg5cbzffh,https://data.mendeley.com/datasets/fjg5cbzffh,,,no_info
X-Ray and CT scan Databases for COVID-19 detection and Retrieval,10.17632/h4jh5khgzy,https://data.mendeley.com/datasets/h4jh5khgzy,,,no_info
COVID-19 & Normal Posteroanterior(PA) X-rays,,https://www.kaggle.com/tarandeep97/covid19-normal-posteroanteriorpa-xrays,,,remix
